desc,file_id_full,file_id_thumb,medium,title,year
"The Bend of the Seine at Lavacourt, Winter
Claude Oscar Monet  (1879)Private collectionPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6459,6458,oil,"The Bend of the Seine at Lavacourt, Winter",1879
"Bennecourt
Claude Oscar Monet  (1887)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7052,7051,oil,Bennecourt,1887
"Bennecourt
Claude Oscar Monet  (1885)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",6919,6918,oil,Bennecourt,1885
"The Binnen-Amstel Canal, Amsterdam
Claude Oscar Monet  (1874)Private collectionPainting - oil on canvasUploaded Friday, 14 June 2013 by member rocsdadPublic domain",326053,326052,oil,"The Binnen-Amstel Canal, Amsterdam",1874
"Block of Rocks at Port-Goulphar
Claude Oscar Monet  (1887)Private collectionPainting - oil on canvasUploaded Sunday, 18 November 2012 by member rocsdadPublic domain",253817,253816,oil,Block of Rocks at Port-Goulphar,1887
"The Blue House at Zaandam
Claude Oscar Monet  (1871)Private collectionPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6127,6126,oil,The Blue House at Zaandam,1871
"The Blue Row Boat
Claude Oscar Monet  (1887)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7070,7069,oil,The Blue Row Boat,1887
"The Boardwalk at Trouville
Claude Oscar Monet  (1870)Wadsworth Atheneum - Hartford, CTPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6082,6081,oil,The Boardwalk at Trouville,1870
"The Boardwalk on the Beach at Trouville
Claude Oscar Monet  (1870)Private collectionPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6086,6085,oil,The Boardwalk on the Beach at Trouville,1870
"Boat at Low Tide at Fecamp
Claude Oscar Monet  (1881)Fuji Art MuseumPainting - oil on canvasUploaded Monday, 13 January 2003 by member rocsdadPublic domain",6559,6558,oil,Boat at Low Tide at Fecamp,1881
"Boaters at Argenteuil
Claude Oscar Monet  (1874)Private collectionPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6285,6284,oil,Boaters at Argenteuil,1874
"Boating on the River Epte
Claude Oscar Monet  (1890)Museu de Arte de Ṣo Paulo Assis ChateaubriandPainting - oil on canvasUploaded Sunday, 19 January 2003 by member rocsdadPublic domain",7194,7193,oil,Boating on the River Epte,1890
"The Boats
Claude Oscar Monet  (1869)Kunsthalle BremenPainting - oil on canvasUploaded Saturday, 14 December 2013 by member kohn1foxPublic domain",396325,396324,oil,The Boats,1869
"Boats at Rouen
Claude Oscar Monet  (1872)Private collectionPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6155,6154,oil,Boats at Rouen,1872
"Boats in a Harbour
Claude Oscar Monet  (1873)Scottish National Gallery - National Galleries of ScotlandPainting - oil on canvasUploaded Tuesday, 16 July 2013 by member kohn1foxPublic domain",335626,335625,oil,Boats in a Harbour,1873
"Boats in the Port of Honfleur
Claude Oscar Monet  (1866-1867)Private collectionPainting - oil on canvasUploaded Friday, 5 July 2013 by member rocsdadPublic domain",331141,331140,oil,Boats in the Port of Honfleur,1866-1867
"Boats in the Port of Le Havre
Claude Oscar Monet  (1882-1883)Private collectionPainting - oil on canvasUploaded Wednesday, 15 January 2003 by member rocsdadPublic domain",6723,6722,oil,Boats in the Port of Le Havre,1882-1883
"Boats in the Port of London
Claude Oscar Monet  (1871)Private collectionPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6103,6102,oil,Boats in the Port of London,1871
"Boats Lying at Low Tide at Fecamp
Claude Oscar Monet  (1881)Private collectionPainting - oil on canvasUploaded Monday, 13 January 2003 by member rocsdadPublic domain",6561,6560,oil,Boats Lying at Low Tide at Fecamp,1881
"Boats on the Beach
Claude Oscar Monet  (1883)Private collectionPainting - oil on canvasUploaded Wednesday, 15 January 2003 by member rocsdadPublic domain",6731,6730,oil,Boats on the Beach,1883
"Boats on the Beach at Etretat
Claude Oscar Monet  (1885)Art Institute of ChicagoPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",6957,6956,oil,Boats on the Beach at Etretat,1885
"Boats on the Beach at Etretat
Claude Oscar Monet  (1883)Private collectionPainting - oil on canvasUploaded Wednesday, 15 January 2003 by member rocsdadPublic domain",6753,6752,oil,Boats on the Beach at Etretat,1883
"Boats on the Thames, Fog Effect
Claude Oscar Monet  (1901)Private collectionDrawing - pastelUploaded Saturday, 25 January 2003 by member rocsdadPublic domain",8214,8213,pastel,"Boats on the Thames, Fog Effect",1901
"Boatyard near Honfleur
Claude Oscar Monet  (1864)Private collectionPainting - oil on canvasUploaded Friday, 10 January 2003 by member rocsdadPublic domain",5972,5971,oil,Boatyard near Honfleur,1864
"The Bodmer Oak, Fontainebleau
Claude Oscar Monet  (1865)Metropolitan Museum of Art - New York, NYPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",311335,311334,oil,"The Bodmer Oak, Fontainebleau",1865
"Bordighera
Claude Oscar Monet  (1884)Art Institute of ChicagoPainting - oil on canvasUploaded Wednesday, 15 January 2003 by member rocsdadPublic domain",6779,6778,oil,Bordighera,1884
"The Boulevard de Pontoise at Argenteuil, Snow Effect
Claude Oscar Monet  (1875)Kunstmuseum BernPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6307,6306,oil,"The Boulevard de Pontoise at Argenteuil, Snow Effect",1875
"The Boulevard des Capuchine
(also known as Boulevard des Capucines)Claude Oscar Monet  (1873)The Pushkin State Museum of Fine ArtsPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6249,6248,oil,The Boulevard des Capuchine,1873
"Boulevard des Capucines
Claude Oscar Monet  (1873)Nelson-Atkins Museum of Art - Kansas CityPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6251,6250,oil,Boulevard des Capucines,1873
"Boulevard Heloise, Argenteuil
Claude Oscar Monet  (1872)Yale University Art GalleryPainting - oil on canvasUploaded Thursday, 15 August 2013 by member kohn1foxPublic domain",348119,348118,oil,"Boulevard Heloise, Argenteuil",1872
"Boulevard St-Denis, Argenteuil, Snow Effect
Claude Oscar Monet  (1875)Museum of Fine Arts - BostonPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6303,6302,oil,"Boulevard St-Denis, Argenteuil, Snow Effect",1875
"Bouquet of Gladiolas, Lilies and Dasies
Claude Oscar Monet  (1878)Private collectionPainting - oil on canvasUploaded Sunday, 18 September 2005 by member rocsdadPublic domain",46812,46811,oil,"Bouquet of Gladiolas, Lilies and Dasies",1878
"Bouquet of Mallows
Claude Oscar Monet  (1880)The Courtauld Gallery - LondonPainting - oil on canvasUploaded Monday, 13 January 2003 by member rocsdadPublic domain",6549,6548,oil,Bouquet of Mallows,1880
"Bouquet of Sunflowers
Claude Oscar Monet  (1880)Metropolitan Museum of Art - New York, NYPainting - oil on canvasUploaded Monday, 13 January 2003 by member rocsdadPublic domain",6553,6552,oil,Bouquet of Sunflowers,1880
"Branch of Lemons
Claude Oscar Monet  (1883)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",6877,6876,oil,Branch of Lemons,1883
